j_id,r_id,cost
M2_1,C1,231.93
M2_1,C2,162.59
M2_1,C3,33.77
M2_1,C4,284.6
M2_1,C5,149.23
M2_1,C6,199.82
M2_1,C7,47.63
M2_1,C8,240.66
M2_1,C9,49.59
M2_1,C10,186.51
M2_1,C11,213.07
M2_1,C12,187.75
M2_1,C13,169.28
M2_1,C14,307.2
M2_1,C15,23.1
M2_1,C16,168.73
M2_1,C17,104.73
M2_1,C18,205.31
M2_1,C19,281.05
M2_1,C20,180.25
M2_1,C21,188.83
M2_1,C22,188.59
M2_1,C23,115.45
M2_1,C24,97.41
M2_1,C25,235.62
M2_1,C26,163.66
M2_1,C27,237.12
M2_1,C28,223.08
M2_1,C29,133.41
M2_1,C30,96.76
M2_1,C31,269.33
M2_1,C32,167.22
M2_1,C33,184.85
M2_1,C34,121.91
M2_1,C35,300.72
M2_1,C36,184.12
M2_1,C37,95.73
M2_1,C38,307.8
M2_1,C39,124.67
M2_1,C40,162.87
M2_1,C41,141.41
M2_1,C42,259.2
M2_1,C43,227.77
M2_1,C44,194.0
M2_1,C45,293.05
M2_1,C46,133.14
M2_1,C47,101.46
M2_1,C48,97.86
M2_1,C49,119.24
M2_1,C50,65.37
M2_1,C51,255.48
M2_1,C52,128.2
M2_1,C53,285.86
M2_1,C54,240.23
M2_1,C55,279.54
M2_1,C56,241.68
M2_1,C57,178.08
M2_1,C58,134.76
M2_1,C59,73.13
M2_1,C60,286.44
M2_1,C61,61.38
M2_1,C62,147.12
M2_1,C63,213.26
M2_1,C64,274.67
M2_1,C65,163.58
M2_1,C66,249.24
M2_1,C67,276.15
M2_1,C68,247.55
M2_1,C69,266.97
M2_1,C70,249.86
M2_1,C71,155.74
M2_1,C72,288.32
M2_1,C73,102.84
M2_1,C74,92.89
M2_1,C75,50.7
M2_1,C76,314.58
M2_1,C77,129.64
M2_1,C78,85.62
M2_1,C79,106.46
M2_1,C80,34.01
M2_1,C81,288.17
M2_1,C82,150.74
M2_1,C83,231.94
M2_1,C84,219.68
M2_1,C85,236.45
M2_1,C86,168.42
M2_1,C87,190.44
M2_1,C88,51.03
M2_1,C89,91.03
M2_1,C90,153.6
M2_1,C91,182.41
M2_1,C92,165.19
M2_1,C93,190.87
M2_1,C94,230.19
M2_1,C95,221.62
M2_1,C96,281.69
M2_1,C97,275.15
M2_1,C98,155.5
M2_1,C99,299.37
M2_1,C100,227.3
M2_2,C1,203.71
M2_2,C2,75.91
M2_2,C3,208.2
M2_2,C4,171.54
M2_2,C5,228.39
M2_2,C6,51.97
M2_2,C7,234.39
M2_2,C8,6.26
M2_2,C9,222.94
M2_2,C10,228.21
M2_2,C11,33.58
M2_2,C12,47.98
M2_2,C13,66.96
M2_2,C14,140.85
M2_2,C15,212.65
M2_2,C16,174.76
M2_2,C17,132.16
M2_2,C18,273.74
M2_2,C19,171.48
M2_2,C20,204.58
M2_2,C21,149.94
M2_2,C22,54.92
M2_2,C23,227.94
M2_2,C24,176.73
M2_2,C25,24.18
M2_2,C26,72.16
M2_2,C27,129.29
M2_2,C28,146.49
M2_2,C29,105.61
M2_2,C30,218.5
M2_2,C31,227.64
M2_2,C32,106.92
M2_2,C33,132.07
M2_2,C34,114.14
M2_2,C35,170.96
M2_2,C36,181.76
