id,x,y,capacity,open_cost
M2_1,95.08,99.96,279.34,16503.98
M2_2,4.02,75.63,256.51,10390.22
M2_3,91.61,18.15,228.36,18030.19
M2_4,49.17,9.12,244.38,17695.69
M2_5,67.01,85.77,211.27,11666.17
M2_6,28.82,94.52,208.74,18873.47
M2_7,45.48,31.45,276.22,16001.93
M2_8,40.42,51.46,207.83,24403.69
M2_9,54.26,41.32,300.56,18153.21
M2_10,75.64,62.54,188.9,12235.59
M2_11,54.92,92.77,268.74,9071.16
M2_12,12.14,97.31,223.85,18965.0
M2_13,15.84,55.08,247.66,9785.95
M2_14,99.23,91.29,239.77,6864.18
M2_15,83.21,49.84,227.1,7349.32
M2_16,27.34,83.47,262.69,15177.44
M2_17,55.13,38.36,299.47,9874.62
M2_18,87.93,86.4,291.32,15164.82
M2_19,41.49,93.42,201.27,20800.12
M2_20,28.28,29.86,233.56,21410.99
M2_21,48.96,14.86,244.6,24978.05
M2_22,55.19,54.34,237.86,11902.48
M2_23,18.87,69.75,226.25,11435.55
M2_24,77.55,4.36,242.49,9671.25
M2_25,81.14,38.61,266.61,19104.56
M2_26,98.08,49.53,255.31,21414.95
M2_27,59.02,86.97,167.9,15045.82
M2_28,52.6,45.69,284.67,13806.12
M2_29,65.48,15.44,263.51,13199.57
M2_30,33.86,69.27,228.22,24384.07
M2_31,85.23,85.93,253.38,22035.31
M2_32,71.87,75.94,215.74,11333.22
M2_33,6.84,63.12,284.42,5717.98
M2_34,74.68,43.4,291.19,24948.52
M2_35,87.26,44.37,176.47,17674.96
M2_36,4.6,79.61,259.54,23068.48
M2_37,14.56,53.12,203.66,12496.82
M2_38,17.0,7.9,241.67,20850.39
M2_39,24.08,91.28,284.2,17394.21
M2_40,25.4,25.53,182.7,14223.0
M2_41,90.12,67.76,164.05,21092.66
M2_42,34.56,58.76,184.77,13834.6
M2_43,25.01,84.53,251.86,13486.18
M2_44,48.32,23.72,190.52,12693.86
M2_45,99.27,29.52,242.51,16496.24
M2_46,27.45,56.59,299.14,18164.6
M2_47,4.9,60.64,258.39,19893.38
M2_48,28.62,79.89,232.02,23083.11
M2_49,63.66,62.09,247.41,12046.42
M2_50,65.92,83.83,257.27,19418.57
