id,x,y,demand
C1,97.31,37.85,31.45
C2,82.94,61.85,32.08
C3,57.74,70.46,44.47
C4,22.79,28.94,11.83
C5,23.28,10.1,13.19
C6,63.57,36.48,21.12
C7,20.95,26.7,24.81
C8,64.8,60.91,47.47
C9,72.91,16.34,16.85
C10,98.95,64.0,25.18
C11,68.46,84.29,32.28
C12,22.9,3.21,41.04
C13,26.77,21.1,22.62
C14,87.64,31.47,47.72
C15,39.56,91.45,36.22
C16,26.49,24.66,28.35
C17,26.27,58.46,32.45
C18,39.94,21.93,45.91
C19,50.95,9.09,49.9
C20,10.96,62.74,11.88
C21,42.22,6.35,41.68
C22,99.61,52.91,25.26
C23,86.08,1.15,48.84
C24,68.17,53.7,38.83
C25,64.1,11.16,20.67
C26,45.37,95.38,27.39
C27,26.34,50.06,45.03
C28,91.26,87.05,17.15
C29,63.89,60.9,21.94
C30,76.25,53.94,16.11
C31,53.04,0.06,41.15
C32,1.95,92.91,22.97
C33,83.17,30.75,45.15
C34,87.8,94.69,12.32
C35,48.6,6.92,13.43
C36,76.58,12.84,40.42
C37,54.98,26.51,29.01
C38,42.31,21.18,44.9
C39,72.99,20.12,31.57
C40,99.51,64.99,22.47
C41,51.76,12.1,27.52
C42,33.81,58.83,18.99
C43,22.02,7.1,19.2
C44,22.89,90.54,35.24
C45,7.09,23.8,44.39
C46,21.42,13.23,36.76
C47,57.1,47.27,47.42
C48,80.75,19.04,41.38
C49,43.11,42.36,13.88
C50,72.91,67.34,28.68
