i_id,j_id,cost
M1_1,M2_1,63.52
M1_1,M2_2,100.21
M1_1,M2_3,58.07
M1_1,M2_4,74.47
M1_1,M2_5,36.74
M1_1,M2_6,63.89
M1_1,M2_7,40.79
M1_1,M2_8,52.63
M1_1,M2_9,52.9
M1_1,M2_10,108.2
M1_1,M2_11,84.66
M1_1,M2_12,62.4
M1_1,M2_13,98.08
M1_1,M2_14,54.73
M1_1,M2_15,51.45
M1_1,M2_16,85.88
M1_1,M2_17,9.91
M1_1,M2_18,37.04
M1_1,M2_19,49.59
M1_1,M2_20,81.31
M1_2,M2_1,28.49
M1_2,M2_2,76.98
M1_2,M2_3,69.59
M1_2,M2_4,109.31
M1_2,M2_5,39.88
M1_2,M2_6,40.19
M1_2,M2_7,75.58
M1_2,M2_8,17.71
M1_2,M2_9,39.44
M1_2,M2_10,122.09
M1_2,M2_11,103.83
M1_2,M2_12,95.97
M1_2,M2_13,102.21
M1_2,M2_14,20.05
M1_2,M2_15,87.23
M1_2,M2_16,81.83
M1_2,M2_17,43.48
M1_2,M2_18,72.65
M1_2,M2_19,74.86
M1_2,M2_20,108.04
M1_3,M2_1,58.5
M1_3,M2_2,14.96
M1_3,M2_3,63.77
M1_3,M2_4,139.8
M1_3,M2_5,56.93
M1_3,M2_6,31.8
M1_3,M2_7,112.89
M1_3,M2_8,74.64
M1_3,M2_9,109.76
M1_3,M2_10,94.89
M1_3,M2_11,93.59
M1_3,M2_12,150.1
M1_3,M2_13,62.08
M1_3,M2_14,59.49
M1_3,M2_15,128.75
M1_3,M2_16,35.91
M1_3,M2_17,100.43
M1_3,M2_18,114.96
M1_3,M2_19,139.61
M1_3,M2_20,113.3
M1_4,M2_1,108.99
M1_4,M2_2,148.71
M1_4,M2_3,93.93
M1_4,M2_4,58.83
M1_4,M2_5,82.35
M1_4,M2_6,112.53
M1_4,M2_7,41.61
M1_4,M2_8,94.21
M1_4,M2_9,75.6
M1_4,M2_10,133.83
M1_4,M2_11,106.77
M1_4,M2_12,16.82
M1_4,M2_13,134.33
M1_4,M2_14,100.53
M1_4,M2_15,34.01
M1_4,M2_16,128.55
M1_4,M2_17,38.88
M1_4,M2_18,34.27
M1_4,M2_19,19.39
M1_4,M2_20,91.25
M1_5,M2_1,146.09
M1_5,M2_2,121.84
M1_5,M2_3,67.57
M1_5,M2_4,102.7
M1_5,M2_5,97.18
M1_5,M2_6,118.96
M1_5,M2_7,104.0
M1_5,M2_8,151.7
M1_5,M2_9,171.75
M1_5,M2_10,14.99
M1_5,M2_11,39.1
M1_5,M2_12,145.66
M1_5,M2_13,45.88
M1_5,M2_14,140.89
M1_5,M2_15,114.79
M1_5,M2_16,72.14
M1_5,M2_17,127.24
M1_5,M2_18,111.4
M1_5,M2_19,159.69
M1_5,M2_20,57.94
M1_6,M2_1,84.96
M1_6,M2_2,122.39
M1_6,M2_3,71.14
M1_6,M2_4,60.89
M1_6,M2_5,56.38
M1_6,M2_6,86.38
M1_6,M2_7,30.76
M1_6,M2_8,72.01
M1_6,M2_9,61.86
M1_6,M2_10,116.1
M1_6,M2_11,90.13
M1_6,M2_12,39.9
M1_6,M2_13,112.0
M1_6,M2_14,76.28
M1_6,M2_15,34.83
M1_6,M2_16,103.74
M1_6,M2_17,13.26
M1_6,M2_18,23.84
M1_6,M2_19,31.82
M1_6,M2_20,80.09
M1_7,M2_1,77.14
M1_7,M2_2,33.43
M1_7,M2_3,56.69
M1_7,M2_4,134.81
M1_7,M2_5,60.55
M1_7,M2_6,48.13
M1_7,M2_7,111.78
M1_7,M2_8,91.45
M1_7,M2_9,124.57
M1_7,M2_10,76.95
M1_7,M2_11,80.25
M1_7,M2_12,152.32
M1_7,M2_13,43.23
M1_7,M2_14,76.58
M1_7,M2_15,127.79
M1_7,M2_16,20.35
M1_7,M2_17,106.5
M1_7,M2_18,115.21
M1_7,M2_19,146.53
M1_7,M2_20,102.72
M1_8,M2_1,64.39
M1_8,M2_2,92.19
M1_8,M2_3,43.27
M1_8,M2_4,70.47
M1_8,M2_5,24.69
M1_8,M2_6,57.87
M1_8,M2_7,37.37
M1_8,M2_8,57.61
M1_8,M2_9,65.34
M1_8,M2_10,93.62
M1_8,M2_11,70.7
M1_8,M2_12,69.06
M1_8,M2_13,83.46
M1_8,M2_14,55.73
M1_8,M2_15,51.33
M1_8,M2_16,72.52
M1_8,M2_17,22.45
M1_8,M2_18,36.47
M1_8,M2_19,62.14
M1_8,M2_20,69.8
M1_9,M2_1,77.45
M1_9,M2_2,69.94
M1_9,M2_3,8.76
M1_9,M2_4,86.8
