j_id,r_id,flow
M2_4,C1,31.45
M2_4,C14,47.72
M2_4,C22,25.26
M2_4,C23,48.84
M2_4,C33,45.15
M2_4,C40,1.69
M2_4,C48,41.38
M2_7,C2,32.08
M2_7,C6,21.12
M2_7,C9,16.85
M2_7,C10,25.18
M2_7,C24,38.83
M2_7,C30,16.11
M2_7,C36,40.42
M2_7,C39,31.57
M2_7,C40,20.78
M2_14,C17,32.45
M2_14,C20,11.88
M2_14,C27,45.03
M2_14,C32,14.82
M2_14,C42,18.99
M2_16,C3,44.47
M2_16,C8,47.47
M2_16,C11,32.28
M2_16,C15,36.22
M2_16,C26,27.39
M2_16,C28,17.15
M2_16,C29,21.94
M2_16,C32,8.15
M2_16,C34,12.32
M2_16,C44,35.24
M2_16,C50,28.68
M2_17,C4,11.83
M2_17,C7,24.81
M2_17,C13,22.62
M2_17,C16,28.35
M2_17,C18,45.91
M2_17,C37,29.01
M2_17,C38,44.9
M2_17,C45,44.39
M2_17,C46,34.82
M2_17,C47,47.42
M2_17,C49,13.88
M2_19,C5,13.19
M2_19,C12,41.04
M2_19,C19,49.9
M2_19,C21,41.68
M2_19,C25,20.67
M2_19,C31,41.15
M2_19,C35,13.43
M2_19,C41,27.52
M2_19,C43,19.2
M2_19,C46,1.94
